MID,url
M32093298;"File:Atlas de Wit 1698-pl083-Mariembourg-KB PPN 145205088.jpg"
M32093299;"File:Atlas de Wit 1698-pl084-Kamerijk (Cambrai)-KB PPN 145205088.jpg"
M32093301;"File:Atlas de Wit 1698-pl085-Atrecht (Arras)-KB PPN 145205088.jpg"
M32093305;"File:Atlas de Wit 1698-pl086-Saint Omer-KB PPN 145205088.jpg"
M32093306;"File:Atlas de Wit 1698-pl087-Hesdin-KB PPN 145205088.jpg"
M32093315;"File:Atlas de Wit 1698-pl088-Gent-KB PPN 145205088.jpg"
M32093318;"File:Atlas de Wit 1698-pl089-Kortrijk-KB PPN 145205088.jpg"
M32093322;"File:Atlas de Wit 1698-pl090-Nieuwpoort-KB PPN 145205088.jpg"
M32093328;"File:Atlas de Wit 1698-pl091-Brugge-KB PPN 145205088.jpg"
M32093330;"File:Atlas de Wit 1698-pl092-Damme-KB PPN 145205088.jpg"
M32093333;"File:Atlas de Wit 1698-pl093-Oostende-KB PPN 145205088.jpg"
M32093337;"File:Atlas de Wit 1698-pl094-Grevelingen (Gravelines)-KB PPN 145205088.jpg"
M32093339;"File:Atlas de Wit 1698-pl095-Sint-Winoksbergen-KB PPN 145205088.jpg"
M32093341;"File:Atlas de Wit 1698-pl096-Ieper-KB PPN 145205088.jpg"
M32093348;"File:Atlas de Wit 1698-pl097-Rijssel (Lille)-KB PPN 145205088.jpg"
M32093360;"File:Atlas de Wit 1698-pl098-KB PPN 145205088.jpg"
M32093362;"File:Atlas de Wit 1698-pl099-Douai-KB PPN 145205088.jpg"
M32093369;"File:Atlas de Wit 1698-pl100-Doornik-KB PPN 145205088.jpg"
M32093373;"File:Atlas de Wit 1698-pl101-Valenciennes-KB PPN 145205088.jpg"
M32093378;"File:Atlas de Wit 1698-pl102-Geraardsbergen-KB PPN 145205088.jpg"
M32093381;"File:Atlas de Wit 1698-pl103-Veurne-KB PPN 145205088.jpg"
M32093395;"File:Atlas de Wit 1698-pl104-Brouckburg (Bourbourg)-KB PPN 145205088.jpg"
M32093404;"File:Atlas de Wit 1698-pl105-Bailleul-KB PPN 145205088.jpg"
M32093408;"File:Atlas de Wit 1698-pl106-Aalst-KB PPN 145205088.jpg"
M32093422;"File:Atlas de Wit 1698-pl107-Armentiers (Armentières)-KB PPN 145205088.jpg"
M32093423;"File:Atlas de Wit 1698-pl108-Diksmuide-KB PPN 145205088.jpg"
M32093430;"File:Atlas de Wit 1698-pl109-Plassendaal-KB PPN 145205088.jpg"
M32093433;"File:Atlas de Wit 1698-pl110-Diedenhove (Thionville)-KB PPN 145205088.jpg"
M32093434;"File:Atlas de Wit 1698-pl111-Stevenswaard-KB PPN 145205088.jpg"
M32093443;"File:Atlas de Wit 1698-pl112-Luik (Liège)-KB PPN 145205088.jpg"
M32093450;"File:Atlas de Wit 1698-schutbladachter-KB PPN 145205088.jpg"
M36742468;"File:Atlas de Wit 1698-pl081-Maastricht-KB PPN 145205088 (Vroenhof).jpg"
M78826031;"File:Atlas de Wit 1698-schutbladachter-KB PPN 145205088 (cropped).jpg"
M32092793;"File:Atlas de Wit 1698-voorplat-KB PPN 145205088.jpg"
M32092814;"File:Atlas de Wit 1698-schutbladvoor-KB PPN 145205088.jpg"
M32093451;"File:Atlas de Wit 1698-achterplat-KB PPN 145205088.jpg"
